method,T1,T2,T3,T4,mean_dice,BWTR,old_tasks_mean
ZSDERpp (provisional),0.6342617788087944,0.5728554590666434,0.7921885215378445,0.8195190509003548,0.7047062025784092,-0.061815653538407324,0.6664352531377608
zs-gpm,0.1506604738070943,0.07643478495720915,0.037345867468355,0.7558446812134286,0.2550714518615218,-0.8517743484803489,0.08814704207755282
zs-ewc,0.08329571803709049,0.019295961787481795,4.588572746214912e-11,0.8056727093399656,0.2270660973026059,-0.9402853724147523,0.034197226623486
zs-sequential,2.9825660906223594e-10,0.034532687015410034,4.588572746214912e-11,0.8173811235241583,0.21297845272092766,-0.976863230036182,0.011510895786517457
dense-sequential,5.612052380345734e-10,2.4223612294242844e-10,4.58836699173671e-11,0.8500371827030105,0.2125092958880839,-0.9999999996692296,2.8310834363145634e-10
pce-sequential,4.59021161402307e-10,0.002227854636289612,0.2024363031879329,0.7758592969231111,0.2451308638015887,-0.9119967949293204,0.06822138609441455
