run,A,B,C,D,E,F,mean_or_a_dice,BWTR,E_FWT
zs-gpm,0.0909663402,0.0948614528,0.1422575289,0.0871890219,0.1601913023,0.0582250894,0.1056151225,-0.0569620474,0.0630951196
zs-derpp,0.0888178553,0.0878679980,0.1273117383,0.0745162910,0.1353253518,0.0531734704,0.0945021175,-0.0008912982,0.0467051969
zs-joint-b2-lr0.015,0.0877121194,0.0862257725,0.1349114486,0.0758012116,0.1546867353,0.0521473402,0.0985807713,,
zs-joint-b4-lr0.03,0.0806008218,0.0794498319,0.1146044388,0.0666738632,0.1227438727,0.0476919704,0.0852941331,,
