stage,A,B,C,D,E,F
1,0.0879063552,0.0819770494,0.1293560207,0.0377591984,0.0946666025,0.0491665064
2,0.0916701488,0.1006694161,0.1495597706,0.0803561181,0.1480918843,0.0604846563
3,0.0974352087,0.1298011317,0.1644042068,0.0914619177,0.1819469449,0.0647773632
4,0.1072735061,0.1349732564,0.1788430290,0.0997921066,0.2292021375,0.0667927070
5,0.0749913124,0.0850169165,0.1310288017,0.0748210408,0.1603395044,0.0504625435
6,0.0909663402,0.0948614528,0.1422575289,0.0871890219,0.1601913023,0.0582250894
