run,epoch_index,iteration,selection_split,foreground_demo_selection_dice
A_s0,0,76,test,0.4719672947130884
A_s0,1,152,test,0.2928530089034183
A_s0,2,228,test,0.5307152077730062
A_s0,3,304,test,0.42099583685953074
A_s0,4,380,test,0.4754680889066177
A_s0,5,456,test,0.4256431836888251
A_s0,6,532,test,0.6101455434649107
A_s0,7,608,test,0.10347467162320478
A_s0,8,684,test,0.5560633271085965
A_s0,9,760,test,0.31442996986407284
A_s0,10,836,test,0.40368891163740517
A_s0,11,912,test,0.2616509586872881
A_s0,12,988,test,0.41709498043937776
A_s0,13,1064,test,0.6278962206840782
A_s0,14,1140,test,0.4297753961661533
A_s0,15,1216,test,0.5763751494107775
A_s0,16,1292,test,0.7475147549520761
A_s0,17,1368,test,0.45214966477395885
A_s0,18,1444,test,0.6920733711370332
A_s0,19,1520,test,0.5808601216027204
A_s1,0,76,test,2.4113855252239273e-10
A_s1,1,152,test,0.22039075602206495
A_s1,2,228,test,0.29646769127874273
A_s1,3,304,test,2.4039811577473105e-10
A_s1,4,380,test,0.41561701715282434
A_s1,5,456,test,0.37402984438774217
A_s1,6,532,test,0.4305907420074448
A_s1,7,608,test,0.15960537162870816
A_s1,8,684,test,0.4099496224956605
A_s1,9,760,test,0.3613306126122002
A_s1,10,836,test,0.4590118440069184
A_s1,11,912,test,0.2702584886471189
A_s1,12,988,test,0.4523039661856149
A_s1,13,1064,test,0.6808777734850588
A_s1,14,1140,test,0.6605413048591111
A_s1,15,1216,test,0.6568270109681745
A_s1,16,1292,test,0.6884670509489469
A_s1,17,1368,test,0.6008884658284159
A_s1,18,1444,test,0.6999537002050066
A_s1,19,1520,test,0.5882445431481643
A_s2,0,76,test,0.31510383767397127
A_s2,1,152,test,0.2524849223907916
A_s2,2,228,test,0.39478192717208077
A_s2,3,304,test,0.4243279817377191
A_s2,4,380,test,0.5813731983477483
A_s2,5,456,test,0.13765791974274724
A_s2,6,532,test,0.45302622081593197
A_s2,7,608,test,0.15158374171266675
A_s2,8,684,test,0.37209474046286434
A_s2,9,760,test,0.11819732561737219
A_s2,10,836,test,0.25787078764237376
A_s2,11,912,test,0.16014900819886574
A_s2,12,988,test,0.0549721664898615
A_s2,13,1064,test,0.5310499193187744
A_s2,14,1140,test,0.6144040548428223
A_s2,15,1216,test,0.615474912874316
A_s2,16,1292,test,0.7591552963267544
A_s2,17,1368,test,0.6838584028490623
A_s2,18,1444,test,0.667783074080667
A_s2,19,1520,test,0.6224118478533159
A_s3,0,76,test,2.4113855252239273e-10
A_s3,1,152,test,0.15223982396301863
A_s3,2,228,test,0.2566336891642971
A_s3,3,304,test,0.17020524827894992
A_s3,4,380,test,0.4891421915207435
A_s3,5,456,test,0.15678954024084266
A_s3,6,532,test,0.5092154800951252
A_s3,7,608,test,0.15369742489239976
A_s3,8,684,test,0.46802817455245777
A_s3,9,760,test,0.21405116761720153
A_s3,10,836,test,0.41731117158007075
A_s3,11,912,test,0.21202997886777833
A_s3,12,988,test,0.2571562237206457
A_s3,13,1064,test,0.4818654136774904
A_s3,14,1140,test,0.6174239717736857
A_s3,15,1216,test,0.6102676117943054
A_s3,16,1292,test,0.4770484771948416
A_s3,17,1368,test,0.3559010728791967
A_s3,18,1444,test,0.4564027352616123
A_s3,19,1520,test,0.47546363218450055
A_formal80,0,76,test,0.17365017277732434
A_formal80,1,152,test,0.26114174271727686
A_formal80,2,228,test,0.16955018522084878
A_formal80,3,304,test,0.3805028908763364
A_formal80,4,380,test,0.5491189983212409
A_formal80,5,456,test,0.12821961403946888
A_formal80,6,532,test,0.4103167054593353
A_formal80,7,608,test,0.18639613645496755
A_formal80,8,684,test,0.4611505078801115
A_formal80,9,760,test,0.2552450837441695
A_formal80,10,836,test,0.0007263429977959109
A_formal80,11,912,test,0.15019258326620863
A_formal80,12,988,test,0.3112765930072215
A_formal80,13,1064,test,0.4060899047206093
A_formal80,14,1140,test,2.3047792527786473e-10
A_formal80,15,1216,test,0.37770614807070024
A_formal80,16,1292,test,0.36009845347684416
A_formal80,17,1368,test,0.2673429808506553
A_formal80,18,1444,test,0.3145544896035452
A_formal80,19,1520,test,0.12837535082243715
A_formal80,20,1596,test,0.28736727918329924
A_formal80,21,1672,test,0.33864521252798885
A_formal80,22,1748,test,0.39487081732160867
A_formal80,23,1824,test,0.13474754502890685
A_formal80,24,1900,test,0.3222236737770822
A_formal80,25,1976,test,0.37557280662933334
A_formal80,26,2052,test,1.775159912440884e-10
A_formal80,27,2128,test,0.3992561833351866
A_formal80,28,2204,test,0.4913151198211154
A_formal80,29,2280,test,0.41117032417840366
A_formal80,30,2356,test,0.5316221551823846
A_formal80,31,2432,test,0.5705793819634017
A_formal80,32,2508,test,0.36156761202357784
A_formal80,33,2584,test,0.19794895602983478
A_formal80,34,2660,test,0.5319288292954546
A_formal80,35,2736,test,0.42145074562547885
A_formal80,36,2812,test,0.4778373990691014
A_formal80,37,2888,test,0.3183783709400009
A_formal80,38,2964,test,0.4291840924567612
A_formal80,39,3040,test,0.5614934792388483
A_formal80,40,3116,test,0.569473725319317
A_formal80,41,3192,test,0.4542521513258182
A_formal80,42,3268,test,0.490839041899388
A_formal80,43,3344,test,0.49911591055402343
A_formal80,44,3420,test,0.5842726164529811
A_formal80,45,3496,test,0.5481099633271559
A_formal80,46,3572,test,0.4586391088015836
A_formal80,47,3648,test,0.4365736422009469
A_formal80,48,3724,test,0.15034562711383057
A_formal80,49,3800,test,0.4614152098921875
A_formal80,50,3876,test,0.2922749927443605
A_formal80,51,3952,test,0.3131161160968226
A_formal80,52,4028,test,0.3875193305688762
A_formal80,53,4104,test,0.38165343109491373
A_formal80,54,4180,test,0.38573667335830536
A_formal80,55,4256,test,0.26957705874565874
A_formal80,56,4332,test,0.0925593221085584
A_formal80,57,4408,test,0.2225679434359605
A_formal80,58,4484,test,0.5406444917633543
A_formal80,59,4560,test,0.2958377309683479
A_formal80,60,4636,test,0.5442734220724114
A_formal80,61,4712,test,0.4541027570603684
A_formal80,62,4788,test,0.32408524690675916
A_formal80,63,4864,test,0.5693513527836209
A_formal80,64,4940,test,0.5038367496838696
A_formal80,65,5016,test,0.47455785861606553
A_formal80,66,5092,test,0.49044170733474113
A_formal80,67,5168,test,0.4828454579970745
A_formal80,68,5244,test,0.49016825448129886
A_formal80,69,5320,test,0.49825068080279095
A_formal80,70,5396,test,0.41362187062425265
A_formal80,71,5472,test,0.4561943972807036
A_formal80,72,5548,test,0.3990438892897589
A_formal80,73,5624,test,0.4469889633865604
A_formal80,74,5700,test,0.42483423042793317
A_formal80,75,5776,test,0.4935774657644805
A_formal80,76,5852,test,0.45100636037699865
A_formal80,77,5928,test,0.4691667580430276
A_formal80,78,6004,test,0.4977744866172553
A_formal80,79,6080,test,0.4949813388982259
B_s0,0,42,test,0.19989277823372653
B_s0,1,84,test,0.06559083749167914
B_s0,2,126,test,0.2880692685787158
B_s0,3,168,test,0.08938132882279164
B_s0,4,210,test,0.2050531894183362
B_s0,5,252,test,0.2814010095649393
B_s0,6,294,test,0.43862617446201363
B_s0,7,336,test,0.4920094867353087
B_s0,8,378,test,0.4037917131110355
B_s0,9,420,test,0.5515986991921188
B_s0,10,462,test,0.5041600273738333
B_s0,11,504,test,0.02988318739137956
B_s0,12,546,test,0.4567938922788219
B_s0,13,588,test,0.4628726923607637
B_s0,14,630,test,0.42546030960856757
B_s0,15,672,test,0.43598346705412633
B_s0,16,714,test,0.4103088560878892
B_s0,17,756,test,0.4360697196753862
B_s0,18,798,test,0.48968898374418623
B_s0,19,840,test,0.43527852702481223
