domain,run,phase,candidate,epochs,learning_rate,global_weight,spatial_weight,foreground_demo_selection_dice,inclusive_demo_selection_dice,best_epoch_one_based,best_iteration,exitcode,best_checkpoint_relative_path,sweep_winner_dice,previous_formal_dice,difference_from_previous
A,A_formal80,formal,2,80,0.03,0.1,0.01,0.5842726164529811,0.7872367980706132,45,3420,0,A_formal80/best.pt,0.7591552963267544,0.736644347343877,-0.15237173089089584
B,B_formal80,formal,0,80,0.03,1.0,0.01,0.5523577062776047,0.7704937125245936,42,1764,0,B_formal80/best.pt,0.5515986991921188,0.5413882084053331,0.010969497872271639
C,C_formal80,formal,1,80,0.01,1.0,0.01,0.6461911575995178,0.8189376727229833,71,6177,0,C_formal80/best.pt,0.6034336536543539,0.6412886438753289,0.004902513724188928
D,D_formal80,formal,0,80,0.03,1.0,0.01,0.5370209892079258,0.7655336836576423,60,2520,0,D_formal80/best.pt,0.4593721954438891,0.48036347793971873,0.05665751126820712
E,E_formal80,formal,1,80,0.01,1.0,0.01,0.7053657033598169,0.8488190925529553,74,10804,0,E_formal80/best.pt,0.6318443739405437,0.6899351195528037,0.01543058380701312
F,F_formal80,formal,1,80,0.01,1.0,0.01,0.6787189996941617,0.8376157723180915,51,8976,0,F_formal80/best.pt,0.6448172191949815,0.6628073631227723,0.015911636571389387
